PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
De'Andre Hunter,SF,26,3.9,1.5,0.7,0.3,15.6
Matthew Hurt,PF,23,2,0.5,0.4,0.4,4
Bones Hyland,PG,23,1.5,2.5,0.7,0.1,6.9
Joe Ingles,SF,36,2.1,3,0.6,0.1,4.4
Brandon Ingram,SF,26,5.1,5.7,0.8,0.6,20.8
Kyrie Irving,SG,31,5,5.2,1.3,0.5,25.6
Jonathan Isaac,PF,26,4.5,0.5,0.7,1.2,6.8
Jaden Ivey,SG,21,3.4,3.8,0.7,0.5,15.4
Andre Jackson Jr.,SG,22,2,0.9,0.3,0.1,2.2
GG Jackson II,PF,19,4.1,1.2,0.6,0.5,14.6
Isaiah Jackson,C,22,4,0.8,0.6,1,6.5
Jaren Jackson Jr.,C,24,5.5,2.3,1.2,1.6,22.5
Justin Jackson,SF,28,0,0,0,0,0
Quenton Jackson,PG,25,1.3,0.7,0.3,0,0.7
Reggie Jackson,PG,33,1.9,3.8,0.5,0.2,10.2
Trayce Jackson-Davis,PF,23,5,1.2,0.4,1.1,7.9
LeBron James,PF,39,7.3,8.3,1.3,0.5,25.7
Jaime Jaquez Jr.,SF,22,3.8,2.6,1,0.3,11.9
DeJon Jarreau,SG,26,4.9,2.9,0.7,0.2,4.8
DaQuan Jeffries,SG,26,0.3,0.3,0,0.1,0.8
Trey Jemison,C,24,5.4,1.1,0.5,1.1,6.8
Ty Jerome,SG,26,0.5,1.5,0,0,2
Isaiah Joe,SG,24,2.3,1.3,0.6,0.3,8.2
Cameron Johnson,PF,27,4.3,2.4,0.8,0.3,13.4
Jalen Johnson,SF,22,8.7,3.6,1.2,0.8,16
James Johnson,PF,36,0.4,0.9,0.6,0.1,0.9
Keldon Johnson,SF,24,5.5,2.8,0.7,0.3,15.7
Keon Johnson,SG,21,1.4,0.6,0.6,0.2,6.2
Keyontae Johnson,SF,23,1.1,0.4,0.1,0,1.2
Nikola Jokic,C,28,12.4,9,1.4,0.9,26.4
Colby Jones,SG,21,1.3,0.7,0.2,0.2,2.1
Damian Jones,C,28,1.6,0.4,0.2,0.3,2.7
Derrick Jones Jr.,SF,26,3.3,1,0.7,0.7,8.6
Herbert Jones,SF,25,3.6,2.6,1.4,0.8,11
Mason Jones,SG,25,1,1,0.2,0,1.4
Tre Jones,PG,24,3.8,6.2,1,0.1,10
Tyus Jones,PG,27,2.7,7.3,1.1,0.3,12
DeAndre Jordan,C,35,4.4,0.7,0.2,0.4,3.9
Cory Joseph,PG,32,1.2,1.6,0.2,0.1,2.4
Nikola Jovic,PF,20,4.2,2,0.5,0.3,7.7
Johnny Juzang,SG,22,1.8,1.2,0.2,0.1,7.2
Luke Kennard,SG,27,2.9,3.5,0.5,0.1,11
Walker Kessler,C,22,7.5,0.9,0.5,2.4,8.1
Braxton Key,SF,26,0.9,0.5,0.1,0.1,1.1
Corey Kispert,SF,24,2.8,2,0.5,0.2,13.4
Maxi Kleber,C,32,3.3,1.6,0.4,0.7,4.4
Kevin Knox,SF,24,2.4,0.7,0.4,0.2,7.2
John Konchar,SF,27,4.7,2,0.9,0.9,4.3
Furkan Korkmaz,SG,26,0.9,0.7,0.4,0.1,2.5
Luke Kornet,C,28,4.1,1.1,0.4,1,5.3
Vit Krejci,PG,23,2.4,2.3,0.6,0.3,6.1
Jonathan Kuminga,PF,21,4.8,2.2,0.7,0.5,16.1
Kyle Kuzma,PF,28,6.6,4.2,0.5,0.7,22.2
Jock Landale,C,28,3.1,1.2,0.4,0.6,4.9
Jake LaRavia,PF,22,3.7,1.7,0.8,0.3,10.8
Zach LaVine,SG,28,5.2,3.9,0.8,0.3,19.5
A.J. Lawson,SG,23,1.2,0.5,0.2,0.1,3.2
Saben Lee,PG,24,1.3,1.3,0.3,0.1,3
Alex Len,C,30,2.7,1,0.2,0.7,2.5
Kawhi Leonard,SF,32,6.1,3.6,1.6,0.9,23.7
Caris LeVert,SG,29,4.1,5.1,1.1,0.5,14
Kira Lewis Jr.,PG,22,0.9,1.3,0.3,0.1,3.2
Maxwell Lewis,SF,21,0.1,0.2,0.1,0,0.3
E.J. Liddell,PF,23,0.6,0.1,0.3,0.3,0.5
Damian Lillard,PG,33,4.4,7,1,0.2,24.3
Nassir Little,SF,23,1.7,0.5,0.2,0.2,3.4
Dereck Lively II,C,19,6.9,1.1,0.7,1.4,8.8
Isaiah Livers,PF,25,2.1,1.1,0.6,0.2,5
Chris Livingston,SF,20,1,0.2,0.1,0,1.2
Kenneth Lofton Jr.,PF,21,1.8,1.6,0.3,0.2,4.6
Kevon Looney,C,27,5.7,1.8,0.4,0.4,4.5
Brook Lopez,C,35,5.2,1.6,0.5,2.4,12.5
Robin Lopez,C,35,0.3,0.3,0.1,0.2,1.1
Kevin Love,PF,35,6.1,2.1,0.3,0.2,8.8
Kyle Lowry,PG,37,3.2,4.2,1,0.4,8.1
Seth Lundy,SF,23,0.8,0,0,0,1.6
Trey Lyles,PF,28,4.4,1.2,0.3,0.3,7.2
Th o Maledon,PG,22,1.4,1.6,0.4,0,3.5
Sandro Mamukelashvili,C,24,3.2,1.1,0.2,0.3,4.1
Terance Mann,SG,27,3.4,1.6,0.6,0.2,8.8
Tre Mann,PG,22,3.6,4,1.2,0.1,9.3
Boban Marjanovic,C,35,2.3,0.4,0.1,0.1,3.2
Lauri Markkanen,PF,26,8.2,2,0.9,0.5,23.2
Naji Marshall,SF,26,3.6,1.9,0.7,0.2,7.1
Caleb Martin,SF,28,4.4,2.2,0.7,0.5,10
Cody Martin,SF,28,3.9,3.7,1.1,0.6,7.5
KJ Martin,SF,23,2.2,0.9,0.4,0.2,3.7
Garrison Mathews,SG,27,1.4,0.6,0.3,0.1,4.9
Bennedict Mathurin,SF,21,4,2,0.6,0.2,14.5
Wesley Matthews,SG,37,1.5,0.6,0.4,0.3,3.1
Tyrese Maxey,PG,23,3.7,6.2,1,0.5,25.9
Skylar Mays,PG,26,1.1,2.2,0.6,0.1,4.1
Miles McBride,PG,23,1.5,1.7,0.7,0.1,8.3
CJ McCollum,PG,32,4.3,4.6,0.9,0.6,20
T.J. McConnell,PG,31,2.7,5.5,1,0.1,10.2
Jaden McDaniels,SF,23,3.1,1.4,0.9,0.6,10.5
Jalen McDaniels,SF,26,1.6,0.7,0.4,0.1,3.4
Doug McDermott,SF,32,0.9,1.1,0.3,0,5.5
